,Category,Title,Year,Director,Rating,Edited,Lent To:,Notes
1,Miscellaneous,29,2003,Alan Seawright,NR,,,
2,Drama,127 Hours,2010,Danny Boyle,R,Yes,,Plex
3,Television,24 (Season 1),2001-2002,"Joel Surnow, Robert Cochran",TV-14,,,Plex
4,Television,24 (Season 2),2002-2003,"Joel Surnow, Robert Cochran",TV-14,,,Plex
5,Television,24 (Season 3),2003-2004,"Joel Surnow, Robert Cochran",TV-14,,,Plex
6,Horror/Suspense,28 Days Later,2002,Danny Boyle,R,Yes,,Plex
7,Miscellaneous,29: Day 2,2004,Alan Seawright,NR,,,
8,Horror/Suspense,39 Steps,1935,Alfred Hitchcock,UR,,,Plex
9,Horror/Suspense,Abbott and Costello Meet Frankenstein,1948,Charles Barton,NR,,,Plex
10,Horror/Suspense,"Abominable Dr. Phibes, The",1971,Robert Fuest,PG-13,,,Plex
11,Drama,About Time,2013,Richard Curtis,R,Yes,,Plex
12,Comedy,Ace Ventura: Pet Detective,1994,Tom Shadyac,PG-13,,,?
13,Television,"Adventures of Brisco County, Jr.: The Complete Series, The",1993-1994,"Carlton Cuse, Jeffrey Boam",TV-PG,,,Plex
14,Family,"Adventures of Ichabod and Mr. Toad, The",1949,"Clyde Geronimi, Jack Kinney, James Algar",G,,,Plex
15,Family,Aladdin,1992,"Ron Clements, John Musker",G,,,Plex
16,Comedy,Amélie,2001,Jean-Pierre Jeunet,R,Yes,,Plex
17,Family,An American Tail,1986,Don Bluth,G,,,Plex
18,Family,An American Tail: Fievel Goes West,1991,"Phil Nibbelink, Simon Wells",G,,,Plex
19,Comedy,Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,PG-13,Yes,,Plex
20,Comedy,Animal Crackers,1930,Victor Heerman,G,,,Blu-ray
21,Family,Annie,1982,John Huston,PG,,,Plex
22,Television,Arrested Development (Season 1),2003-2004,Mitchell Hurwitz,TV-PG,,,Plex
23,Television,Arrested Development (Season 2),2004-2005,Mitchell Hurwitz,TV-14,,,Plex
24,Television,Arrested Development (Season 3),2005-2006,Mitchell Hurwitz,TV-14,,,Plex
25,Television,Avatar: The Last Airbender (Book 1),2005,"Michael Dante DiMartino, Bryan Konietzko",TV-Y7,,,Plex
26,Television,Avatar: The Last Airbender (Book 2),2006,"Michael Dante DiMartino, Bryan Konietzko",TV-Y7,,,Plex
27,Television,Avatar: The Last Airbender (Book 3),2007-2008,"Michael Dante DiMartino, Bryan Konietzko",TV-Y7,,,Plex
28,Action/Adventure,"Avengers, The",2012,Joss Whedon,PG-13,,,Plex
29,Comedy,Back to the Future,1985,Robert Zemeckis,PG,,,Plex
30,Comedy,Back to the Future Part II,1989,Robert Zemeckis,PG,,,Plex
31,Comedy,Back to the Future Part III,1990,Robert Zemeckis,PG,,,Plex
32,Comedy,Barefoot in the Park,1967,Gene Saks,G,,,Plex
33,Miscellaneous,Barenaked Ladies - Barelaked Nadies,2002,Tim Hamilton,NR,,,
34,Action/Adventure,Batman,1989,Tim Burton,PG-13,,,Plex
35,Action/Adventure,Batman & Robin,1997,Joel Schumacher,PG-13,,,Plex
36,Action/Adventure,Batman Begins,2005,Christopher Nolan,PG-13,,,Plex
37,Action/Adventure,Batman Forever,1995,Joel Schumacher,PG-13,,,Plex
38,Action/Adventure,Batman Returns,1992,Tim Burton,PG-13,,,Plex
39,Family,Beauty and the Beast,1991,"Kirk Wise, Gary Trousdale",G,,,Plex
40,Comedy,Beetlejuice,1988,Tim Burton,PG-13,,,Plex
41,Miscellaneous,Bellydance Core Conditioning,2005,Neena & Veena,NR,,,Plex
42,Comedy,Best In Show,2000,Christopher Guest,PG-13,,,Plex
43,Family,"Best Two Years, The",2003,Scott S. Anderson,PG,,,Plex
44,Comedy,Better Off Dead,1985,Savage Steve Holland,PG,,,Plex
45,Comedy,Big,1988,Penny Marshall,PG,,,Plex
46,Drama,Big Fish,2003,Tim Burton,PG-13,,,Plex
47,Comedy,Bill & Ted's Bogus Journey,1991,Peter Hewitt,PG,,,Plex
48,Comedy,Bill & Ted's Excellent Adventure,1989,Stephen Herek,PG,,,Plex
49,Horror/Suspense,Blackmail,1929,Alfred Hitchcock,UR,,,Plex
50,Horror/Suspense,"Blair Witch Project, The",1999,"Eduardo Sánchez, Daniel Myrick",R,Yes,,Plex
51,Miscellaneous,Blue Man Group - The Complex Rock Tour Live,2003,"Matt Goldman, Phil Stanton, Chris Wink",NR,,,Plex
52,Action/Adventure,"Boondock Saints, The",1999,Troy Duffy,R,Yes,,Plex
53,Drama,Braveheart,1995,Mel Gibson,R,Yes,,Plex
54,Comedy,Brian Regan: I Walked on the Moon,2004,John Brenkus,NR,,,Plex
55,Horror/Suspense,"Bride of Frankenstein, The",1935,James Whale,NR,,,Plex
56,Comedy,Bridesmaids,2011,Paul Feig,R,Yes,,Plex
57,Comedy,Bruce Almighty,2003,Tom Shadyac,PG-13,,,Plex
58,Horror/Suspense,Buffy the Vampire Slayer,1992,Fran Rubel Kuzui,PG-13,,,Plex
59,Comedy,Buster Keaton Collection,1920,Buster Keaton,UR,,,
60,Horror/Suspense,Cabin in the Woods,2012,Drew Goddard,R,Yes,,Plex
61,Family,Cars,2006,John Lasseter,G,,,Plex
62,Miscellaneous,Cartoon Lagoon,2012,Euralis Weekes,NR,,,
63,Drama,Casablanca,1942,Michael Curtiz,PG,,,Plex
64,Horror/Suspense,"Changeling, The",1980,Peter Medak,PG,,,Plex
65,Family,Charlie and the Chocolate Factory,2005,Tim Burton,PG,,,Plex
66,Family,Cheaper By The Dozen,2003,Shawn Levy,PG,,,Plex
67,Horror/Suspense,Chronicle,2012,Josh Trank,PG-13,,,Plex
68,Family,Cinderella,1950,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",G,,,Plex
69,Family,Cinderella,2015,Kenneth Branagh,PG,,,Plex
70,Family,"Cinderella Story, A",2004,Mark Rosman,PG,,,Plex
71,Family,Cloudy with a Chance of Meatballs,2009,"Chris Miller, Phil Lord",G,,,Plex
